cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment
cy78-CD45-neg-3-A09-S681-comb,78,Malignant,8234,27.4624,-26.8413,1.5603,0.5628,G1/S,1.2648,Cell Cycle - G1/S,Cell Cycle - G1/S
cy78-CD45-neg-1-A06-S486-comb,78,Malignant,9222,27.4642,-26.7845,1.7662,0.818,G1/S,0.9737,Cell Cycle - G1/S,""
cy78-CD45-neg-1-F11-S551-comb,78,Malignant,7571,29.157,-28.4799,-0.1286,0.0132,Not cycling,0.5507,Hypoxia,""
cy80-CD45-neg-C01-S409-comb,80,T_cell,4028,11.3094,7.2292,0.916,1.618,G2/M,2.9425,CD4 - Cell Cycle,CD4 - Cell Cycle
cy84-Met-CD45-pos-A01-S865-comb,84,Macrophage,3882,13.2861,-16.7365,-0.0614,0.0425,Not cycling,,"",""
cy80-CD45-neg-B04-S400-comb,80,B_cell,3752,-18.9284,4.1581,-0.0247,-0.0769,Not cycling,,"",""
cy84-Primary-CD45-neg-H07-S1051-comb,84,Malignant,3445,8.1825,-17.1093,1.9273,0.5664,G1/S,,"",""
cy80-CD45-neg-F07-S451-comb,80,T_cell,3395,3.9364,10.4204,0.2114,0.1324,Not cycling,0.7694,CD8 - Unassigned2,""
cy80-CD45-neg-D11-S431-comb,80,T_cell,5114,-1.3792,10.2198,0.054,0.0826,Not cycling,0.6752,CD4 - Cytotoxic,""
cy78-CD45-neg-3-D12-S720-comb,78,Malignant,6974,28.7561,-27.4425,0.4927,0.2333,Not cycling,0.3541,Stress,""
cy84-Primary-CD45-neg-A12-S972-comb,84,Endothelial,3437,-22.1389,-10.1492,-0.002,0.2098,Not cycling,,"",""
cy84-Met-CD45-pos-C07-S895-comb,84,T_cell,2478,-0.8861,15.7204,-0.0026,0.1111,Not cycling,,"",""
cy78-CD45-neg-3-A03-S675-comb,78,Malignant,5702,28.6005,-28.4281,-0.0593,-8e-04,Not cycling,0.4437,Translation initiation,""
cy78-CD45-neg-1-C07-S511-comb,78,Malignant,8007,26.7232,-26.8095,2.1533,1.5879,Intermediate,1.8791,Cell Cycle - G1/S,Cell Cycle - G1/S
cy78-CD45-neg-2-A08-S584-comb,78,B_cell,2121,-18.0695,4.7902,0.0019,0.0723,Not cycling,,"",""
cy78-CD45-neg-3-D06-S714-comb,78,Malignant,8430,26.8476,-26.9619,2.3868,1.3747,G1/S,2.0563,Cell Cycle - G1/S,Cell Cycle - G1/S
cy78-CD45-neg-3-C10-S706-comb,78,Malignant,8587,29.2418,-27.9315,0.0018,-0.0172,Not cycling,0.4354,Stress,""
cy78-CD45-neg-3-C03-S699-comb,78,Malignant,5812,29.0784,-28.5576,0.029,0.2718,Not cycling,0.7461,Interferon/MHC-II (I),""
cy80-CD45-neg-D09-S429-comb,80,T_cell,4916,-2.8543,12.59,-0.0989,-0.012,Not cycling,1.7367,CD8 - Memory/Naive1,CD8 - Memory/Naive1
cy78-CD45-neg-3-H08-S764-comb,78,Malignant,8154,28.7152,-27.6152,0.6807,0.3213,Not cycling,0.4764,Interferon/MHC-II (I),""
cy84-Met-CD45-pos-G07-S943-comb,84,T_cell,2342,-1.4379,13.7628,4e-04,-0.0312,Not cycling,,"",""
cy78-CD45-neg-2-B07-S595-comb,78,"",2490,27.9349,-28.2356,,,"",,"",""
cy78-CD45-neg-3-B04-S688-comb,78,Malignant,4844,28.5309,-27.8516,0.0919,0.2563,Not cycling,0.5269,Protein maturation,""
cy84-Primary-CD45-neg-A07-S967-comb,84,Malignant,6283,8.5955,-17.1541,-0.0143,0.0111,Not cycling,,"",""
cy84-Primary-CD45-neg-F05-S1025-comb,84,Malignant,2634,8.2488,-16.988,1.918,0.4652,G1/S,,"",""
cy78-CD45-neg-3-A08-S680-comb,78,Malignant,7967,28.0331,-27.5385,0.6467,1.3396,G2/M,1.7069,Cell Cycle - G2/M,Cell Cycle - G2/M
cy78-CD45-neg-3-F08-S740-comb,78,Malignant,7102,28.4722,-27.3234,0.115,0.0986,Not cycling,0.4939,Interferon/MHC-II (I),""
cy84-Primary-CD45-neg-H12-S1056-comb,84,Malignant,4996,8.836,-17.0149,0.6878,0.9552,G2/M,,"",""
cy78-CD45-neg-3-G06-S750-comb,78,Malignant,7487,28.4706,-27.4859,0.0017,0.0773,Not cycling,0.5139,MYC,""
cy78-CD45-neg-3-E10-S730-comb,78,Malignant,5850,28.7654,-28.9427,0.1042,0.0656,Not cycling,0.6835,MP41 (Unassigned),""
cy84-Met-CD45-pos-H04-S952-comb,84,"",2144,-18.3146,5.5812,,,"",,"",""
cy80-CD45-neg-A03-S387-comb,80,T_cell,3071,7.771,10.4799,-5e-04,0.1519,Not cycling,1.7095,CD4 - Cytotoxic,CD4 - Cytotoxic
cy84-Met-CD45-pos-G09-S945-comb,84,T_cell,2047,2.3333,11.6449,-0.0459,0.0806,Not cycling,,"",""
cy80-CD45-neg-F08-S452-comb,80,"",4535,-9.9645,10.3206,,,"",,"",""
cy80-CD45-neg-F11-S455-comb,80,"",3881,-16.1765,8.7192,,,"",,"",""
cy84-Met-CD45-pos-D06-S906-comb,84,"",2858,-0.7958,6.5021,,,"",,"",""
cy78-CD45-neg-1-G01-S553-comb,78,Malignant,8536,28.0846,-27.0841,0.8838,0.4304,G1/S,0.3185,Hypoxia,""
cy84-Met-CD45-pos-A04-S868-comb,84,T_cell,2354,4.2149,13.377,0.0628,0.0172,Not cycling,,"",""
cy78-CD45-neg-3-B11-S695-comb,78,Malignant,7480,28.5509,-27.5483,-0.0348,0.127,Not cycling,0.531,MYC,""
cy84-Met-CD45-pos-A11-S875-comb,84,T_cell,2300,-1.0833,15.1779,-0.0308,-0.0693,Not cycling,,"",""
cy78-CD45-neg-1-F07-S547-comb,78,Malignant,6346,29.2083,-28.674,0.5361,0.2471,Not cycling,0.8362,Translation initiation,""
cy78-CD45-neg-1-C03-S507-comb,78,Malignant,6334,29.1183,-28.2876,-0.083,0.0478,Not cycling,0.6274,Translation initiation,""
cy80-CD45-neg-G07-S463-comb,80,T_cell,3256,-1.016,10.9059,-0.1801,0.267,Not cycling,1.262,CD4 - Naive1,""
cy78-CD45-neg-1-D06-S522-comb,78,Malignant,7135,28.3788,-27.8108,0.0269,0.4232,Not cycling,0.477,MYC,""
cy80-CD45-neg-H11-S479-comb,80,T_cell,2619,-0.1669,9.7836,-0.1381,0.0345,Not cycling,3.5049,CD8 - Interferon,CD8 - Interferon
cy78-CD45-neg-3-F11-S743-comb,78,Malignant,7691,28.9577,-27.6268,-0.0836,0.1703,Not cycling,0.4205,Hypoxia,""
cy78-CD45-neg-3-A07-S679-comb,78,Malignant,8312,27.7052,-26.8186,1.0487,2.2238,G2/M,2.7609,Cell Cycle - G2/M,Cell Cycle - G2/M
cy78-CD45-neg-1-H10-S574-comb,78,Malignant,7875,28.3809,-27.2356,-0.114,0.0706,Not cycling,0.6154,Skin pigmentation,""
cy80-CD45-neg-B08-S404-comb,80,T_cell,3383,7.1344,11.1533,0.0773,0.2133,Not cycling,2.3239,CD4 - Cytotoxic,CD4 - Cytotoxic
cy78-CD45-neg-1-G02-S554-comb,78,Malignant,6792,28.7144,-28.3542,-0.069,0.03,Not cycling,1.2171,Interferon/MHC-II (I),Interferon/MHC-II (I)
cy84-Met-CD45-pos-H05-S953-comb,84,B_cell,2397,-20.1057,5.1571,0.0739,-0.0458,Not cycling,,"",""
cy84-Met-CD45-pos-B08-S884-comb,84,T_cell,2413,-2.136,14.3734,0.0933,-0.2046,Not cycling,,"",""
cy78-CD45-neg-3-E12-S732-comb,78,Malignant,6606,29.0073,-28.7704,-0.1912,-0.0557,Not cycling,1.2716,Hypoxia,Hypoxia
cy80-CD45-neg-E06-S438-comb,80,T_cell,4728,-1.3834,10.132,0.0917,0.2483,Not cycling,1.145,CD8 - Interferon,CD8 - Interferon
cy78-CD45-neg-3-A10-S682-comb,78,Malignant,6695,29.0579,-28.9355,-0.4135,-0.1449,Not cycling,0.8626,Stress,""
cy78-CD45-neg-1-E09-S537-comb,78,Malignant,7863,28.9273,-27.8744,-0.3044,0.0962,Not cycling,0.8213,EMT III,""
cy80-CD45-neg-D05-S425-comb,80,T_cell,3040,-1.2924,10.9917,-0.1936,0.0912,Not cycling,2.3932,CD8 - Memory/Naive1,CD8 - Memory/Naive1
cy84-Met-CD45-pos-F11-S935-comb,84,"",3566,-1.6869,15.5605,,,"",,"",""
cy80-CD45-neg-D08-S428-comb,80,T_cell,3980,-7.253,13.7513,0.0063,-0.1277,Not cycling,0.5889,CD8 - Naive2,""
cy80-CD45-neg-E07-S439-comb,80,T_cell,3642,7.9636,10.1432,0.0455,0.3069,Not cycling,2.1627,CD8 - Interferon,CD8 - Interferon
cy78-CD45-neg-1-C04-S508-comb,78,Malignant,5768,29.1694,-28.5705,-0.3879,0.0016,Not cycling,1.1686,Hypoxia,Hypoxia
cy78-CD45-neg-3-A04-S676-comb,78,Malignant,7334,27.4573,-26.9977,1.6326,0.51,G1/S,1.0874,Cell Cycle - G1/S,Cell Cycle - G1/S
cy78-CD45-neg-3-G12-S756-comb,78,Malignant,6766,28.7978,-27.6258,-0.3143,0.0886,Not cycling,0.6314,Respiration,""
cy84-Primary-CD45-neg-D05-S1001-comb,84,Malignant,6597,8.6923,-17.1783,0.323,-0.1109,Not cycling,,"",""
cy78-CD45-neg-3-E04-S724-comb,78,Malignant,7590,27.3415,-26.9963,2.3001,0.654,G1/S,1.9601,Cell Cycle - G1/S,Cell Cycle - G1/S
cy78-CD45-neg-3-H09-S765-comb,78,Malignant,7533,27.2153,-27.2527,0.8681,1.9539,G2/M,2.2661,Cell Cycle - G2/M,Cell Cycle - G2/M
cy84_Primary_CD45_pos_E03_S435_comb,84,B_cell,3763,-20.5004,4.6744,0.1029,-0.173,Not cycling,,"",""
cy84_Primary_CD45_pos_C05_S413_comb,84,T_cell,2315,10.1074,10.783,-0.1715,0.0177,Not cycling,,"",""
cy84_Primary_CD45_pos_H12_S480_comb,84,B_cell,3737,-20.6622,4.8675,-0.147,0.0257,Not cycling,,"",""
cy84_Primary_CD45_pos_E08_S440_comb,84,NK_cell,3761,0.2664,4.8062,-0.0244,0.037,Not cycling,,"",""
cy84_Primary_CD45_pos_A09_S393_comb,84,T_cell,3542,-3.9611,13.4977,0.0441,-0.3197,Not cycling,,"",""
cy84_Primary_CD45_pos_E05_S437_comb,84,T_cell,2046,-3.3752,14.265,0.0986,-0.0272,Not cycling,,"",""
cy84_Primary_CD45_pos_B03_S399_comb,84,B_cell,3913,-22.732,3.7647,-0.0217,-0.0476,Not cycling,,"",""
cy84_Primary_CD45_pos_H09_S477_comb,84,T_cell,3937,17.4456,11.138,-0.1691,-0.0799,Not cycling,,"",""
cy84_Primary_CD45_pos_A06_S390_comb,84,T_cell,3140,15.1672,10.8496,0.038,-0.0207,Not cycling,,"",""
cy84_Primary_CD45_pos_G06_S462_comb,84,T_cell,3045,-5.0537,13.8156,0.0318,0.1006,Not cycling,,"",""
cy84_Primary_CD45_pos_C01_S409_comb,84,"",4640,11.8591,6.8072,,,"",,"",""
cy84_Primary_CD45_pos_D07_S427_comb,84,T_cell,3442,-5.8669,12.7354,-0.0775,0.0508,Not cycling,,"",""
cy84_Primary_CD45_pos_B04_S400_comb,84,T_cell,3414,15.6435,10.7678,-0.0657,-0.2235,Not cycling,,"",""
cy84_Primary_CD45_pos_E02_S434_comb,84,T_cell,3736,17.5843,11.3444,0.1145,0.1077,Not cycling,,"",""
cy84_Primary_CD45_pos_H08_S476_comb,84,B_cell,5846,-21.5952,4.4769,1.3249,0.3012,G1/S,,"",""
cy84_Primary_CD45_pos_B08_S404_comb,84,"",3840,-0.6873,10.7928,,,"",,"",""
cy84_Primary_CD45_pos_C06_S414_comb,84,T_cell,3513,2.3212,10.2878,-0.0771,0.0294,Not cycling,,"",""
cy84_Primary_CD45_pos_E06_S438_comb,84,B_cell,3797,-19.1227,5.0031,-0.0562,-0.066,Not cycling,,"",""
cy84_Primary_CD45_pos_G04_S460_comb,84,"",4576,-18.3892,6.9034,,,"",,"",""
cy84_Primary_CD45_pos_H02_S470_comb,84,T_cell,3526,5.2152,15.2473,-0.053,0.0069,Not cycling,,"",""
cy84_Primary_CD45_pos_B11_S407_comb,84,T_cell,3781,1.1648,11.2813,-0.0192,-0.2183,Not cycling,,"",""
cy84_Primary_CD45_pos_E01_S433_comb,84,Macrophage,4347,13.0364,-16.9582,-0.0455,0.0524,Not cycling,,"",""
cy84_Primary_CD45_pos_E04_S436_comb,84,T_cell,3661,-5.5474,12.9073,-0.0277,-0.0951,Not cycling,,"",""
cy84_Primary_CD45_pos_D10_S430_comb,84,T_cell,3909,9.1058,7.3266,-0.1179,-0.0154,Not cycling,,"",""
cy84_Primary_CD45_pos_G02_S458_comb,84,B_cell,3884,-17.8228,8.8155,0.0552,-0.1968,Not cycling,,"",""
cy84_Primary_CD45_pos_B07_S403_comb,84,T_cell,3728,10.4759,11.7393,-0.16,0.0534,Not cycling,,"",""
cy84_Primary_CD45_pos_D11_S431_comb,84,T_cell,3858,16.7508,11.3774,0.1122,0.2484,Not cycling,,"",""
cy84_Primary_CD45_pos_A04_S388_comb,84,B_cell,3713,-20.2117,5.6746,-0.0864,-0.1486,Not cycling,,"",""
cy84_Primary_CD45_pos_B09_S405_comb,84,T_cell,3629,-4.7528,14.4352,0.1079,0.1095,Not cycling,,"",""
cy84_Primary_CD45_pos_A12_S396_comb,84,B_cell,3636,-21.5056,4.6185,-0.0651,-0.2063,Not cycling,,"",""
cy84_Primary_CD45_pos_D12_S432_comb,84,"",3194,-21.6055,3.5713,,,"",,"",""
cy84_Primary_CD45_pos_B10_S406_comb,84,T_cell,3245,-1.8812,13.0032,-0.0549,0.0066,Not cycling,,"",""
cy84_Primary_CD45_pos_A10_S394_comb,84,"",3867,-20.4653,5.5126,,,"",,"",""
cy84_Primary_CD45_pos_G05_S461_comb,84,T_cell,2056,-3.9776,12.4498,-0.1291,-0.0525,Not cycling,,"",""
cy84_Primary_CD45_pos_E09_S441_comb,84,T_cell,4240,17.4636,11.3419,-0.1516,-0.0639,Not cycling,,"",""
cy84_Primary_CD45_pos_H10_S478_comb,84,T_cell,3246,15.3361,11.9833,0.1242,-0.3025,Not cycling,,"",""
cy84_Primary_CD45_pos_C07_S415_comb,84,NK_cell,4019,-0.5842,6.1533,-0.0437,0.1359,Not cycling,,"",""
cy84_Primary_CD45_pos_H11_S479_comb,84,T_cell,3869,2.2802,11.2415,0.1398,0.537,Not cycling,,"",""
cy84_Primary_CD45_pos_G09_S465_comb,84,B_cell,4089,-22.2721,3.3937,-0.1095,-0.2388,Not cycling,,"",""
cy84_Primary_CD45_pos_H01_S469_comb,84,B_cell,4072,-20.5636,5.1628,0.2421,-0.0644,Not cycling,,"",""
cy84_Primary_CD45_pos_A11_S395_comb,84,B_cell,4043,-22.3101,3.7118,0.0622,0.091,Not cycling,,"",""
cy84_Primary_CD45_pos_D01_S421_comb,84,B_cell,4239,-18.3814,15.4648,0.0817,0.477,Not cycling,,"",""
cy84_Primary_CD45_pos_C03_S411_comb,84,T_cell,4936,-1.0869,12.9454,0.5117,0.0387,Not cycling,,"",""
cy84_Primary_CD45_pos_A01_S385_comb,84,T_cell,3095,-0.269,11.7508,0.1548,-0.0135,Not cycling,,"",""
cy84_Primary_CD45_pos_D02_S422_comb,84,B_cell,3578,-21.3919,4.28,-0.0281,-0.0783,Not cycling,,"",""
cy84_Primary_CD45_pos_C04_S412_comb,84,T_cell,3869,-0.6674,11.5943,-0.0502,-0.0217,Not cycling,,"",""
cy84_Primary_CD45_pos_A03_S387_comb,84,B_cell,4284,-21.1477,4.2832,-0.2384,-0.0822,Not cycling,,"",""
cy84_Primary_CD45_pos_C09_S417_comb,84,B_cell,3570,-20.3776,4.498,0.0157,-0.0055,Not cycling,,"",""
cy84_Primary_CD45_pos_B05_S401_comb,84,B_cell,2079,-20.1737,4.2056,-0.0381,0.0364,Not cycling,,"",""
cy84_Primary_CD45_pos_G12_S468_comb,84,T_cell,3886,-1.8829,10.5896,-0.1875,-0.1945,Not cycling,,"",""
cy84_Primary_CD45_pos_E10_S442_comb,84,B_cell,4624,-21.7057,4.0793,-0.0715,0.0504,Not cycling,,"",""
cy84_Primary_CD45_pos_C10_S418_comb,84,T_cell,3464,-3.355,13.9594,0.2305,-0.0381,Not cycling,,"",""
cy84_Primary_CD45_pos_B12_S408_comb,84,T_cell,5395,12.8329,7.5585,2.507,0.6779,G1/S,,"",""
cy84_Primary_CD45_pos_G03_S459_comb,84,NK_cell,4258,0.2158,4.8322,-0.1908,-0.1223,Not cycling,,"",""
cy84_Primary_CD45_pos_D08_S428_comb,84,B_cell,2943,-22.6216,3.9635,-0.0308,0.0733,Not cycling,,"",""
cy84_Primary_CD45_pos_G10_S466_comb,84,T_cell,4696,12.0744,8.6964,1.3189,0.3387,G1/S,,"",""
cy84_Primary_CD45_pos_H03_S471_comb,84,T_cell,3888,-3.3686,12.9079,-0.032,-0.1509,Not cycling,,"",""
cy84_Primary_CD45_pos_B06_S402_comb,84,"",4113,0.0278,6.3143,,,"",,"",""
cy84_Primary_CD45_pos_D09_S429_comb,84,T_cell,3080,-4.814,11.7622,0.2761,0.1939,Not cycling,,"",""
cy84_Primary_CD45_pos_G07_S463_comb,84,T_cell,3949,-1.2448,12.4515,-0.0686,-0.0196,Not cycling,,"",""
cy84_Primary_CD45_pos_C11_S419_comb,84,NK_cell,2825,-0.0397,5.7023,-0.0324,-0.0565,Not cycling,,"",""
cy84_Primary_CD45_pos_D03_S423_comb,84,T_cell,3264,1.0058,12.6009,-0.1855,-0.1834,Not cycling,,"",""
cy84_Primary_CD45_pos_H06_S474_comb,84,B_cell,5157,-21.8615,3.7865,-0.0355,-0.0773,Not cycling,,"",""
cy84_Primary_CD45_pos_G08_S464_comb,84,T_cell,4941,11.5199,8.7414,1.2186,0.3135,G1/S,,"",""
cy84_Primary_CD45_pos_D06_S426_comb,84,T_cell,2705,-2.3966,14.2376,-0.1153,-0.2397,Not cycling,,"",""
cy84_Primary_CD45_pos_B02_S398_comb,84,B_cell,4395,-18.3344,15.4996,0.4999,-0.0954,Not cycling,,"",""
cy84_Primary_CD45_pos_E07_S439_comb,84,B_cell,3591,-21.4405,3.9117,-0.0238,-0.1124,Not cycling,,"",""
cy84_Primary_CD45_pos_G11_S467_comb,84,B_cell,3339,-18.8528,7.981,-0.0496,0.0909,Not cycling,,"",""
cy84_Primary_CD45_pos_C08_S416_comb,84,Macrophage,4713,14.6411,-17.4104,-0.0332,0.0785,Not cycling,,"",""
cy84_Primary_CD45_pos_H07_S475_comb,84,T_cell,3597,10.0085,10.3549,-0.1302,0.0028,Not cycling,,"",""
cy60_1_cd_45_pos_3_E10_S346_comb,60,NK_cell,3317,-0.1766,4.8843,-0.0378,-0.0098,Not cycling,,"",""
cy60_1_cd_45_pos_4_B04_S16_comb,60,T_cell,2788,15.6905,10.9041,-0.1121,-0.1805,Not cycling,,"",""
cy60_1_cd_45_pos_4_G06_S78_comb,60,T_cell,2467,-4.8864,13.8388,-0.0279,0.0974,Not cycling,,"",""
cy60_1_cd_45_pos_3_C06_S318_comb,60,T_cell,3324,12.1723,7.9222,1.9219,0.9166,G1/S,,"",""
cy60_1_cd_45_pos_4_B10_S22_comb,60,T_cell,2579,-1.9665,12.9625,-0.0389,0.0273,Not cycling,,"",""
cy60_1_cd_45_pos_4_A06_S6_comb,60,T_cell,2505,15.0545,10.9288,0.0514,0.0912,Not cycling,,"",""
cy80_CD_90_pos_A04_S868_comb,80,Fibroblast,7835,-28.8003,-6.0762,0.2313,0.3886,Not cycling,,"",""
cy80_CD_90_pos_F08_S932_comb,80,Fibroblast,8979,-29.113,-5.8348,0.2257,0.2623,Not cycling,,"",""
cy60_1_cd_45_pos_4_G12_S84_comb,60,T_cell,3147,-1.8149,10.6156,-0.2196,-0.1708,Not cycling,,"",""
cy60_1_cd_45_pos_3_H11_S383_comb,60,T_cell,3865,16.9352,12.0379,0.2781,0.247,Not cycling,,"",""
cy60_1_cd_45_pos_3_A05_S293_comb,60,T_cell,2777,-1.8387,13.2216,0.0755,-0.1709,Not cycling,,"",""
cy88_cd_45_pos_G03_S459_comb,88,T_cell,2241,-2.6904,11.2724,0.1211,-0.0011,Not cycling,0.6709,CD4 - Dysfunction,""
cy60_1_cd_45_pos_4_D03_S39_comb,60,T_cell,2550,1.0036,12.7693,-0.2395,-0.1789,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A02_S962_comb,60,B_cell,2356,-22.5222,3.0302,-0.0965,-0.0914,Not cycling,,"",""
cy88_cd_45_pos_G09_S465_comb,88,Macrophage,4963,17.8391,-17.6907,-0.2017,-0.135,Not cycling,,"",""
cy60_1_cd_45_pos_3_C12_S324_comb,60,B_cell,2468,-22.7395,4.5233,-0.0657,-0.1281,Not cycling,,"",""
cy60_1_cd_45_pos_3_F04_S352_comb,60,T_cell,3324,-2.5443,10.868,0.0698,0.2157,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C07_S991_comb,60,B_cell,3357,-22.8514,3.0906,-0.0851,0.117,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E05_S1013_comb,60,B_cell,4432,13.2781,-0.6177,0.2955,-0.2488,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A09_S969_comb,60,B_cell,3595,-23.0505,3.6872,-0.0512,-0.0793,Not cycling,,"",""
cy88_cd_45_pos_F11_S455_comb,88,T_cell,3480,-2.0481,8.96,-0.1389,0.3513,Not cycling,0.8561,CD8 - Cytotoxic,""
cy60_1_cd_45_pos_3_E01_S337_comb,60,B_cell,2785,-16.6435,8.6292,-0.1341,-0.0519,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C11_S995_comb,60,B_cell,2920,-22.8518,4.0967,-0.008,0.0158,Not cycling,,"",""
cy60_1_cd_45_pos_3_E12_S348_comb,60,B_cell,3027,-22.6526,2.853,0.0828,-0.0984,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C01_S985_comb,60,B_cell,2674,-22.7767,4.0474,-0.081,-0.0678,Not cycling,,"",""
cy88_cd_45_pos_3_F01_S637_comb,88,Macrophage,4761,17.5625,-17.5971,-0.0351,0.1309,Not cycling,,"",""
cy88_cd_45_pos_3_C01_S601_comb,88,T_cell,3345,7.4397,10.5221,-0.0615,-0.0418,Not cycling,1.2702,CD8 - Cytotoxic,CD8 - Cytotoxic
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C10_S994_comb,60,T_cell,2180,8.4196,11.9282,-0.0091,0.0529,Not cycling,,"",""
cy60_1_cd_45_pos_3_A04_S292_comb,60,B_cell,2679,-22.3542,4.143,0.3012,-0.1609,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F09_S1029_comb,60,"",5072,-20.6042,5.8041,,,"",,"",""
cy88_cd_45_pos_C01_S409_comb,88,Macrophage,5555,17.2645,-17.8178,0.1521,0.0607,Not cycling,,"",""
cy60_1_cd_45_pos_4_C03_S27_comb,60,T_cell,4078,-1.1338,12.8571,0.5084,0.0478,Not cycling,,"",""
cy80_CD_90_pos_E04_S916_comb,80,Fibroblast,9578,-28.7842,-6.106,0.1974,0.3519,Not cycling,,"",""
cy88_cd_45_pos_3_F07_S643_comb,88,T_cell,2803,-3.3051,10.3308,-0.0815,-0.0771,Not cycling,0.6652,CD8 - Naive3,""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C06_S990_comb,60,B_cell,2381,-22.8448,3.9298,-0.0257,-0.0167,Not cycling,,"",""
cy60_1_cd_45_pos_4_D01_S37_comb,60,B_cell,3511,-18.2947,15.5074,0.0823,0.5133,Not cycling,,"",""
cy60_1_cd_45_pos_3_A03_S291_comb,60,NK_cell,2482,-0.49,6.5934,-0.0124,-0.0794,Not cycling,,"",""
cy60_1_cd_45_neg_3_H07_S571_comb,60,"",2144,-5.6692,0.8398,,,"",,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D01_S997_comb,60,T_cell,2809,8.5265,11.2472,-0.059,0.0466,Not cycling,,"",""
cy60_1_cd_45_pos_3_B01_S301_comb,60,NK_cell,2981,-0.0588,4.9395,-0.0853,-0.0336,Not cycling,,"",""
cy60_1_cd_45_pos_4_C05_S29_comb,60,T_cell,2022,10.1941,10.5385,-0.2251,0.1383,Not cycling,,"",""
cy60_1_cd_45_pos_3_A09_S297_comb,60,B_cell,5008,13.2394,-0.7012,0.101,0.0237,Not cycling,,"",""
cy88_cd_45_pos_C03_S411_comb,88,T_cell,3946,7.8734,9.6653,0.0241,0.4144,Not cycling,0.7758,CD4 - Dysfunction,""
cy60_1_cd_45_pos_4_E10_S58_comb,60,B_cell,3907,-22.0498,4.0179,-0.0768,0.102,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H09_S1053_comb,60,B_cell,3001,-23.0925,3.591,-0.2405,-0.1335,Not cycling,,"",""
cy60_1_cd_45_pos_3_G01_S361_comb,60,NK_cell,3382,0.0733,5.0172,-0.0036,0.0689,Not cycling,,"",""
cy80_CD_90_pos_E09_S921_comb,80,Fibroblast,8901,-28.8746,-6.1025,2.1439,2.2071,Intermediate,,"",""
cy88_cd_45_pos_G07_S463_comb,88,Macrophage,4500,17.8677,-17.8449,0.0113,-0.1331,Not cycling,,"",""
cy88_cd_45_pos_D11_S431_comb,88,T_cell,2323,-3.2609,10.1193,-0.1672,-0.0436,Not cycling,0.7547,CD8 - Unassigned2,""
cy60_1_cd_45_pos_3_A11_S299_comb,60,T_cell,3022,10.6846,9.358,0.2941,0.4235,Not cycling,,"",""
cy80_CD_90_pos_D10_S910_comb,80,Fibroblast,9080,-29.0123,-5.9815,2.1677,2.2483,Intermediate,,"",""
cy88_cd_45_pos_3_B07_S595_comb,88,T_cell,3419,-3.0428,10.5287,-0.1556,-0.052,Not cycling,0.8165,CD4 - Treg,""
cy88_cd_45_pos_3_B05_S593_comb,88,T_cell,2015,17.0336,12.4536,-0.0838,0.065,Not cycling,1.4915,CD8 - Dysfunction,CD8 - Dysfunction
cy60_1_cd_45_neg_3_F06_S546_comb,60,Malignant,5354,-8.0931,-21.4043,0.1648,1.3924,G2/M,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H12_S1056_comb,60,T_cell,3665,10.7952,7.3695,-0.2886,2.3903,G2/M,,"",""
cy60_1_cd_45_pos_3_B11_S311_comb,60,T_cell,4852,10.9499,10.419,0.7879,0.1569,G1/S,,"",""
cy60_1_cd_45_pos_3_C05_S317_comb,60,T_cell,3422,17.1904,11.9094,-0.1458,0.12,Not cycling,,"",""
cy80_CD_90_pos_C11_S899_comb,80,"",5562,-28.5849,-5.9688,,,"",,"",""
cy88_cd_45_pos_D09_S429_comb,88,Macrophage,3518,17.8835,-17.7679,-0.1234,0.1005,Not cycling,,"",""
cy80_CD_90_pos_C04_S892_comb,80,"",4480,-28.6617,-6.1004,,,"",,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F04_S1024_comb,60,B_cell,2855,-16.8279,7.583,0.0338,0.0141,Not cycling,,"",""
cy60_1_cd_45_pos_3_B12_S312_comb,60,B_cell,2915,-22.6412,3.3617,0.1418,0.0979,Not cycling,,"",""
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E04_S1012_comb,60,B_cell,2829,-22.8077,3.1631,0.1373,0.0143,Not cycling,,"",""
cy60_1_cd_45_neg_3_C10_S514_comb,60,Malignant,7913,-3.4106,-27.0858,1.9112,1.6599,Intermediate,,"",""
